Entry Time,Exit Time,Entry Price,Exit Price,direction,Signal Type,Exit Reason,PnL %,Direction
2025-02-07 17:15:00,2025-02-07 17:40:00,0.24982,0.25013,1,MeanRev_Long,5-Bar Time Stop,0.06408934432792911,LONG
2025-02-08 00:40:00,2025-02-08 01:05:00,0.24973,0.2482,-1,MeanRev_Short,5-Bar Time Stop,0.5526616746085786,SHORT
2025-02-08 08:35:00,2025-02-08 09:00:00,0.24701,0.24683,-1,MeanRev_Short,5-Bar Time Stop,0.012871543662205368,SHORT
2025-02-08 10:20:00,2025-02-08 10:45:00,0.24858,0.24742,-1,MeanRev_Short,5-Bar Time Stop,0.4066505752675173,SHORT
2025-02-08 17:00:00,2025-02-08 17:15:00,0.25154,0.25185,-1,MeanRev_Short,Stall Filter (Bar 3),-0.18324083644749642,SHORT
2025-02-09 00:30:00,2025-02-09 00:45:00,0.2525,0.25266,-1,MeanRev_Short,Stall Filter (Bar 3),-0.12336633663366078,SHORT
2025-02-09 01:05:00,2025-02-09 01:20:00,0.25372,0.25452,-1,MeanRev_Short,Stall Filter (Bar 3),-0.37530821377897794,SHORT
2025-02-09 03:25:00,2025-02-09 03:35:00,0.25515,0.25642574999999995,-1,MeanRev_Short,Stop Loss,-0.5599999999999861,SHORT
2025-02-09 03:40:00,2025-02-09 03:50:00,0.25801,0.25930005,-1,MeanRev_Short,Stop Loss,-0.559999999999995,SHORT
2025-02-09 11:10:00,2025-02-09 11:25:00,0.25495,0.25535,1,MeanRev_Long,Stall Filter (Bar 3),0.09689350853108902,LONG
2025-02-09 19:30:00,2025-02-09 19:55:00,0.24972,0.24957,1,MeanRev_Long,5-Bar Time Stop,-0.1200672753483947,LONG
2025-02-10 00:00:00,2025-02-10 00:15:00,0.25067,0.25262,-1,MeanRev_Short,Stall Filter (Bar 3),-0.8379151872980442,SHORT
2025-02-10 01:40:00,2025-02-10 01:55:00,0.24394,0.24679542000000002,1,MeanRev_Long,Trailing Stop,1.110541936541783,LONG
2025-02-10 02:05:00,2025-02-10 02:20:00,0.24213,0.24311280000000002,1,MeanRev_Long,Trailing Stop,0.3458976582827431,LONG
2025-02-10 03:30:00,2025-02-10 03:50:00,0.2503,0.24842207500000002,-1,MeanRev_Short,Trailing Stop,0.6902696763883349,SHORT
2025-02-10 07:15:00,2025-02-10 07:40:00,0.25064,0.25031,-1,MeanRev_Short,5-Bar Time Stop,0.07166294286626117,SHORT
2025-02-10 08:05:00,2025-02-10 08:20:00,0.25239,0.25216,-1,MeanRev_Short,Stall Filter (Bar 3),0.0311288085898839,SHORT
2025-02-10 08:40:00,2025-02-10 09:05:00,0.25301,0.25232,-1,MeanRev_Short,5-Bar Time Stop,0.21271649341924193,SHORT
2025-02-10 10:05:00,2025-02-10 10:30:00,0.2526,0.25173,-1,MeanRev_Short,5-Bar Time Stop,0.28441805225652494,SHORT
2025-02-10 18:00:00,2025-02-10 18:20:00,0.25488,0.25365992000000004,-1,MeanRev_Short,Trailing Stop,0.4186880100439253,SHORT
2025-02-11 01:20:00,2025-02-11 01:45:00,0.25784,0.25873,-1,MeanRev_Short,5-Bar Time Stop,-0.40517530251318723,SHORT
2025-02-11 02:30:00,2025-02-11 02:50:00,0.25643,0.25763297,1,MeanRev_Long,Trailing Stop,0.4091221775923353,LONG
2025-02-11 04:30:00,2025-02-11 04:45:00,0.25925,0.261324,-1,MeanRev_Short,Stop Loss,-0.8600000000000078,SHORT
2025-02-11 04:50:00,2025-02-11 05:00:00,0.26185,0.26315925,-1,MeanRev_Short,Stop Loss,-0.5599999999999938,SHORT
2025-02-11 12:10:00,2025-02-11 12:35:00,0.26341,0.26323,1,MeanRev_Long,5-Bar Time Stop,-0.12833453551496068,LONG
2025-02-11 18:25:00,2025-02-11 18:40:00,0.25282,0.2535918,1,MeanRev_Long,Trailing Stop,0.24527648129103286,LONG
2025-02-12 01:20:00,2025-02-12 01:45:00,0.25204,0.25415,1,MeanRev_Long,5-Bar Time Stop,0.7771687033804162,LONG
2025-02-12 02:50:00,2025-02-12 03:00:00,0.25225,0.25098875,1,MeanRev_Long,Stop Loss,-0.5599999999999967,LONG
2025-02-12 04:15:00,2025-02-12 04:40:00,0.2505,0.25037,1,MeanRev_Long,5-Bar Time Stop,-0.1118962075848379,LONG
2025-02-12 07:05:00,2025-02-12 07:20:00,0.25235,0.2528,-1,MeanRev_Short,Stall Filter (Bar 3),-0.2383237566871432,SHORT
2025-02-12 07:25:00,2025-02-12 07:50:00,0.25362,0.25289,-1,MeanRev_Short,5-Bar Time Stop,0.2278321898903905,SHORT
2025-02-12 13:25:00,2025-02-12 13:35:00,0.25942,0.2568258,-1,MeanRev_Short,TP2 Hit (Runner),0.9399999999999966,SHORT
2025-02-12 21:40:00,2025-02-12 22:05:00,0.26383,0.26313,-1,MeanRev_Short,5-Bar Time Stop,0.2053223666755236,SHORT
2025-02-13 01:40:00,2025-02-13 01:55:00,0.26622,0.266,-1,MeanRev_Short,Stall Filter (Bar 3),0.02263841935241453,SHORT
2025-02-13 03:55:00,2025-02-13 04:20:00,0.26532,0.26382,-1,MeanRev_Short,5-Bar Time Stop,0.5053550429669837,SHORT
2025-02-13 06:30:00,2025-02-13 06:45:00,0.25944,0.25736448,1,MeanRev_Long,Stop Loss,-0.859999999999999,LONG
2025-02-13 07:50:00,2025-02-13 08:15:00,0.25868,0.25829,1,MeanRev_Long,5-Bar Time Stop,-0.2107654244626571,LONG
2025-02-13 12:15:00,2025-02-13 12:40:00,0.25615,0.25717,1,MeanRev_Long,5-Bar Time Stop,0.3382041772399067,LONG
2025-02-13 19:00:00,2025-02-13 19:25:00,0.25842,0.25718,-1,MeanRev_Short,5-Bar Time Stop,0.4198390217475287,SHORT
2025-02-14 00:25:00,2025-02-14 00:40:00,0.26388,0.26383,-1,MeanRev_Short,Stall Filter (Bar 3),-0.04105199333030373,SHORT
2025-02-14 03:45:00,2025-02-14 04:00:00,0.26413,0.26389,-1,MeanRev_Short,Stall Filter (Bar 3),0.03086434710179173,SHORT
2025-02-14 05:30:00,2025-02-14 05:55:00,0.26143,0.26167,1,MeanRev_Long,5-Bar Time Stop,0.03180277703401216,LONG
2025-02-14 07:05:00,2025-02-14 07:30:00,0.2631,0.26344,-1,MeanRev_Short,5-Bar Time Stop,-0.18922843025465866,SHORT
2025-02-14 07:40:00,2025-02-14 07:55:00,0.26342,0.2639,-1,MeanRev_Short,Stall Filter (Bar 3),-0.24221851036369144,SHORT
2025-02-14 08:00:00,2025-02-14 08:05:00,0.26481,0.26692847999999997,-1,MeanRev_Short,Stop Loss,-0.8599999999999919,SHORT
2025-02-14 08:15:00,2025-02-14 08:25:00,0.26637,0.26770184999999996,-1,MeanRev_Short,Stop Loss,-0.559999999999988,SHORT
